ref_id,source,formulation_raw,salt_components,dosage_form,form_modifier,strength_raw,strength_mg,strength_kind,unit_basis,unit_qty,price_checkable,price_ex_gst,so_number,so_date,manufacturer,marketing_company,retrieved_on,status,quarantine_reason,unit_basis_raw,raw_row
CEIL-0562,ceiling,LENALIDOMIDE,"[""LENALIDOMIDE""]",capsule,,CAPSULE 5 MG,[5.0],mg,capsule,1,true,68.86,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Capsule,"["""", ""562"", ""2022"", ""LENALIDOMIDE"", ""CAPSULE 5 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 68.86(1 Capsule)""]"
CEIL-0563,ceiling,LENALIDOMIDE,"[""LENALIDOMIDE""]",capsule,,CAPSULE 25 MG,[25.0],mg,capsule,1,true,299.29,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Capsule,"["""", ""563"", ""2022"", ""LENALIDOMIDE"", ""CAPSULE 25 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 299.29(1 Capsule)""]"
CEIL-0564,ceiling,LETROZOLE,"[""LETROZOLE""]",tablet,,TABLET 2.50 MG,[2.5],mg,tablet,1,true,30.02,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""564"", ""2022"", ""LETROZOLE"", ""TABLET 2.50 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 30.02(1 Tablet)""]"
CEIL-0565,ceiling,LEUPRORELIN,"[""LEUPRORELIN""]",injection,,INJECTION 11.25 MG,[11.25],mg,vial,1,true,9517.65,1575(E),25-Mar-2026,,,2026-09-18,usable,,Each Vial,"["""", ""565"", ""2022"", ""LEUPRORELIN"", ""INJECTION 11.25 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 9517.65(Each Vial)""]"
CEIL-0566,ceiling,LEUPRORELIN,"[""LEUPRORELIN""]",injection,,INJECTION 22.5 MG,[22.5],mg,vial,1,true,17491.66,1575(E),25-Mar-2026,,,2026-09-18,usable,,Each Vial,"["""", ""566"", ""2022"", ""LEUPRORELIN"", ""INJECTION 22.5 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 17491.66(Each Vial)""]"
CEIL-0567,ceiling,LEUPRORELIN,"[""LEUPRORELIN""]",injection,,INJECTION 3.75 MG,[3.75],mg,vial,1,true,3187.41,1575(E),25-Mar-2026,,,2026-09-18,usable,,Each Vial,"["""", ""567"", ""2022"", ""LEUPRORELIN"", ""INJECTION 3.75 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 3187.41(Each Vial)""]"
CEIL-0568,ceiling,LEVETIRACETAM,"[""LEVETIRACETAM""]",syrup,,SYRUP 100 MG,[100.0],mg,ml,1,true,4.07,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""568"", ""2022"", ""LEVETIRACETAM"", ""SYRUP 100 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 4.07(1 ML)""]"
CEIL-0569,ceiling,LEVETIRACETAM,"[""LEVETIRACETAM""]",injection,,INJECTION 100 MG/ML,[100.0],concentration,ml,1,true,23.57,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 ML,"["""", ""569"", ""2022"", ""LEVETIRACETAM"", ""INJECTION 100 MG/ML"", ""1575(E)"", ""25-Mar-2026"", ""₹ 23.57(1 ML)""]"
CEIL-0570,ceiling,LEVETIRACETAM,"[""LEVETIRACETAM""]",tablet,modified_release,MODIFIED RELEASE TABLET 750 MG,[750.0],mg,tablet,1,true,18.74,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""570"", ""2022"", ""LEVETIRACETAM"", ""MODIFIED RELEASE TABLET 750 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 18.74(1 Tablet)""]"
CEIL-0571,ceiling,LEVETIRACETAM,"[""LEVETIRACETAM""]",tablet,,TABLET 750 MG,[750.0],mg,tablet,1,true,19.81,1575(E),25-Mar-2026,,,2026-09-18,usable,,1 Tablet,"["""", ""571"", ""2022"", ""LEVETIRACETAM"", ""TABLET 750 MG"", ""1575(E)"", ""25-Mar-2026"", ""₹ 19.81(1 Tablet)""]"
